pubDate,title,description
2025-12-15 08:35:00,"&quot;패션 업황, 긴 조정 끝 반등 신호&quot; [모닝 리포트]",에잇세컨즈 X 케이팝 데몬 헌터스 협업 상품 화보. [사진=삼성물산 패션부문 제공] 정 연구원은 최근 미국 패션 기업들의 주가 흐름을 반등의 신호로 짚었다. 지난 4월 미국 관세 이슈 이후 글로벌 패션 기업들의 실적... 
2025-12-15 08:34:00,"네이버, 21일까지 멤버십 특가전..인기 가전 최대 55% 할인","먼저 넷플릭스의 '케이팝 데몬 헌터스' 캐릭터 키링, 스포티파이 텀블러, Xbox기프트 카드(3만 원 권) 등의 경품 이벤트를 준비했다. 네이버플러스 멤버십을 통해 디지털 콘텐츠를 즐기는 사용자라면 응모 가능하다.  또... "
2025-12-15 08:31:00,"'선대 헌트릭스' 바다, '케데헌' 매기 강 감독과 역사적 만남",가수 바다(S.E.S)가 넷플릭스의 메가 히트 애니메이션 '‘케이팝 데몬 헌터스(케데헌)’’의 매기 강(Maggie Kang) 감독과 직접 만남을 가졌다. 지난 10일 넷플릭스 초청으로 진행된 비공개 파티에서 바다는 매기 강 감독을... 
2025-12-15 08:30:00,"네이버, 연말 맞이 일주일 '빅 멤버십데이'…&quot;단골 혜택 강화&quot;","네이버플러스 멤버십을 통해 디지털 콘텐츠를 즐기는 사용자들에게 다채로운 혜택을 제공하고자, 넷플릭스의 ‘케이팝 데몬 헌터스’ 캐릭터 키링, 스포티파이 텀블러, 엑스박스 기프트 카드(3만원 권) 등의 경품... "
2025-12-15 08:26:00,"네이버, 연말 맞이 'BIG 멤버십데이' 진행…적립 더하고 가격 낮췄다","넷플릭스 애니메이션 '케이팝 데몬 헌터스' 캐릭터 키링, 스포티파이 텀블러, Xbox 기프트 카드(3만 원권) 등의 경품이 준비됐다. ​이 밖에도 연말 외식 수요 증가에 맞춰 배달 및 케이크 사전 예약 등에 사용할 수 있는... "
2025-12-15 08:14:00,"네이버, 일주일간 'BIG 멤버십데이' 열고 '단골' 혜택 강화","네이버플러스 멤버십을 통해 디지털 콘텐츠를 즐기는 사용자들에게 다채로운 혜택을 제공하고자, 넷플릭스의 '케이팝 데몬 헌터스' 캐릭터 키링, 스포티파이 텀블러, Xbox기프트 카드(3만 원 권) 등의 경품 이벤트를... "
2025-12-15 07:06:00,"포스코미술관, 'The Hidden Chapter-오백 년 만에 돌아온 조선서화' 개최","최근 조선 민화 속 호랑이가 최근 '케이팝 데몬 헌터스'의 인기로 주목받고 있는 가운데, 이번 전시에서는 정재 홍장중의 &lt;수하호도&gt;(19세기)를 통해 호랑이의 매력적인 모습을 만날 수 있다. 광양제철소 관계자는 &quot;이번... "
2025-12-15 07:05:00,"테일러 스위프트, 美 '빌보드200' 통산 9주 1위…케데헌 3위·스키즈 10위",글로벌 신드롬이 여전한 넷플릭스 애니메이션 영화 '케이팝 데몬 헌터스(K-Pop Demon Hunters·케데헌)' OST는 3위를 유지했다. '빌보드 200' 1위에 빛나는 K-팝 간판 보이그룹 '스트레이 키즈'(Stray Kids·스키즈)의... 
2025-12-15 06:04:00,[ASH 2025] 미국혈액학회 현장에서도 K-컬쳐는 통했다,마침 K-팝과 한국 문화를 소재로 한 콘텐츠인 '케이팝 데몬 헌터스'가 글로벌 시장에서 흥행을 이어가던 시점이었다. 전통과 현대를 결합한 한국 문화 코드에 대한 관심이 학술대회 현장에서도 자연스럽게 이어지는... 
2025-12-15 05:00:00,"케데헌 이재, 음악한 이유? 공부시키려면 '이 털' 뽑아줘야","넷플릭스 애니메이션 ‘케이팝 데몬 헌터스’ 열풍이 식을 줄 모른다. 주제곡 ‘골든(Golden)’은 빌보드 핫100 차트에서 비연속 통산 10주간 1위라는 기록을 세운 데 이어, 그래미 어워즈 5개 부문 후보에 올랐다.... "
